Method,Endpoint
POST,/api/accounts/customer/{customerId}
GET,/api/accounts/{accountNumber}/balance
POST,/api/admin/officers
GET,/api/admin/officers
DELETE,/api/admin/officers/{id}
POST,/api/admin/rules
PUT,/api/admin/rules/{id}
DELETE,/api/admin/rules/{id}
GET,/api/admin/rules
POST,/api/admin/keywords
PUT,/api/admin/keywords/{id}
DELETE,/api/admin/keywords/{id}
GET,/api/admin/keywords
POST,/api/admin/countries
PUT,/api/admin/countries/{code}
DELETE,/api/admin/countries/{code}
GET,/api/admin/countries
GET,/api/admin/audit/logs
GET,/api/admin/audit/logs/user/{userId}
GET,/api/admin/audit/logs/action/{action}
POST,/api/auth/register
POST,/api/auth/verify-otp
POST,/api/auth/login
POST,/api/auth/resend-otp
GET,/api/compliance/alerts
POST,/api/compliance/alerts/{alertId}/assign
GET,/api/compliance/alerts/{alertId}
GET,/api/compliance/customers/{customerId}/transactions
POST,/api/compliance/alerts/{alertId}/action
POST,/api/compliance/alerts/{alertId}/sar
POST,/api/compliance/sars/{sarId}/submit
GET,/api/currency/supported
GET,/api/currency/rates
GET,/api/currency/rate/{fromCurrency}/{toCurrency}
POST,/api/currency/convert
GET,/api/currency/supported/{fromCurrency}/{toCurrency}
GET,/api/currency/fee/{fromCurrency}/{toCurrency}
GET,/api/kyc/compliance/dashboard
GET,/api/kyc/compliance/customers/status
GET,/api/kyc/compliance/customer/{customerId}/detailed-report
GET,/api/kyc/compliance/documents/attention-required
POST,/api/kyc/upload
POST,/api/kyc/verify
GET,/api/kyc/customer/{customerId}
GET,/api/kyc/customer/{customerId}/status
GET,/api/kyc/pending
GET,/api/kyc/manual-review
GET,/api/kyc/high-risk
GET,/api/kyc/expiring
GET,/api/kyc/officer/{officerId}
GET,/api/kyc/{documentId}
PUT,/api/kyc/{documentId}/risk-score
DELETE,/api/kyc/{documentId}
GET,/api/kyc/reports/date-range
POST,/api/transactions/transfer
POST,/api/transactions/deposit
POST,/api/transactions/withdraw
GET,/api/transactions/account/{accountNumber}
GET,/api/transactions/{transactionId}
GET,/api/admin/customers
POST,/api/admin/customers
PUT,/api/admin/customers/{id}
DELETE,/api/admin/customers/{id}
GET,/api/admin/accounts
GET,/api/admin/accounts/customer/{customerId}
PUT,/api/admin/accounts/{accountId}
POST,/api/admin/accounts/{accountId}/freeze
POST,/api/admin/accounts/{accountId}/unfreeze
GET,/api/admin/kyc/pending
GET,/api/admin/kyc/manual-review
POST,/api/admin/kyc/{documentId}/verify
